id,instruction,instrument,piece_type,audio_setting,mistake_category,mistake,feedback,audio_path
bcbbe10f-d41c-4925-95c5-7b4f5d19ce25,"Listen to the reference and play the same excerpt from ""Wildflower"".",guitar,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/bcbbe10f-d41c-4925-95c5-7b4f5d19ce25.wav
bd292aa2-228b-44bd-b732-84c0d17b47d8,"Listen to the reference and play the same excerpt from ""Take Me Home, Country Roads"".",guitar,song_excerpt,double,harmony,The second chord is played as E major instead of E minor.,Change the second chord to E minor by replacing G# with G natural. Practice the transition to E minor slowly before playing through the full progression.,data/processed/open_ended/audio/bd292aa2-228b-44bd-b732-84c0d17b47d8.wav
a66dc3ec-d052-4efc-88d6-f682389b0b74,"Listen to the reference and play the same excerpt from ""Take Me Home, Country Roads"".",guitar,song_excerpt,double,rhythm_and_timing,The strumming pattern does not match the reference in stroke direction and note duration.,"Count 1-2-3-4. Do a partial downstroke and let it ring through beats 1-2, then play a downstroke on 3 and an upstroke on 4. Repeat this pattern steadily.",data/processed/open_ended/audio/a66dc3ec-d052-4efc-88d6-f682389b0b74.wav
d6c13d80-83a7-4485-8346-3ee1768b99fb,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/d6c13d80-83a7-4485-8346-3ee1768b99fb.wav
b4a0f1e6-207a-4d41-94d9-6bbe79b93e91,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,pitch,The last note of each ascending arpeggio is played as E instead of C.,Practice the arpeggio slowly and make the final ascending note C every time. Repeat through the sequence until each arpeggio ends on C and matches the reference.,data/processed/open_ended/audio/b4a0f1e6-207a-4d41-94d9-6bbe79b93e91.wav
04516c1a-d31c-4a14-a5f1-ae969aa6cb64,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,pitch,The ascending arpeggio uses the wrong string order: 5-3-4-2 instead of 5-4-3-2.,"Loop the ascending arpeggio and play 5-4-3-2 each time, keeping the 4th string as the second note.",data/processed/open_ended/audio/04516c1a-d31c-4a14-a5f1-ae969aa6cb64.wav
65493b5c-0c20-4738-a137-e374260119e1,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,tempo,The tempo gradually speeds up instead of staying steady.,Count aloud and match each beat to the click so your tempo stays aligned with the reference.,data/processed/open_ended/audio/65493b5c-0c20-4738-a137-e374260119e1.wav
f28523e5-389b-4f04-9278-d8827e477bab,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/f28523e5-389b-4f04-9278-d8827e477bab.wav
61afe18a-b71f-4b7b-84b3-f7a2d71a662a,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,pitch,The left-hand notes are played two octaves lower than the reference.,Move the left hand up two octaves so the accompaniment matches the reference register. Play along with the reference to confirm the register is correct before continuing.,data/processed/open_ended/audio/61afe18a-b71f-4b7b-84b3-f7a2d71a662a.wav
9e9131cb-1b7e-404d-9c8b-41823bbbc7e5,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,pitch,The 3rd left-hand note is played as B instead of A.,"Loop the left-hand pattern slowly and make sure the 3rd note is A. Once it is consistent, add the right hand.",data/processed/open_ended/audio/9e9131cb-1b7e-404d-9c8b-41823bbbc7e5.wav
0d3a232e-8477-44cc-b045-0d67d7b07995,"Play a two-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,pitch,The 7th scale degree is played as B♭ instead of B natural.,Play B natural instead of B♭. Slow down and repeat the scale until the correct note is consistent in both octaves.,data/processed/open_ended/audio/0d3a232e-8477-44cc-b045-0d67d7b07995.wav
a56ca4f3-6eb7-4da0-88b1-f5d6ba4f61bb,"Play a one-octave D major scale, ascending and descending, as even eighth notes.",piano,exercise,single,rhythm_and_timing,"The F# is held longer than the other notes, making the note lengths uneven.","Slow down and use a metronome. Keep the eighth notes even, and release F# on time so it lasts the same as the other notes.",data/processed/open_ended/audio/a56ca4f3-6eb7-4da0-88b1-f5d6ba4f61bb.wav
64ebacd5-0347-4bd2-b345-5e98fa44cf22,"Play the excerpt from ""Waltz Op. 39 No. 13"" in staccato.",piano,song_excerpt,single,articulation,The melody is played legato instead of staccato.,"Play the notes short and detached, releasing each one quickly so there is a small gap between notes. Practice slowly on just the first few notes until the staccato is consistent, then play through the full scale.",data/processed/open_ended/audio/64ebacd5-0347-4bd2-b345-5e98fa44cf22.wav
2f13b776-5351-46a8-8595-6d8620c70e5c,"Play the excerpt from ""Waltz Op. 39 No. 13"" in legato.",piano,song_excerpt,single,articulation,The melody is played staccato instead of legato.,"Connect the notes smoothly by holding each one until the next begins, with no gaps. Practice slowly on the first few notes until the legato is consistent, then play the full scale.",data/processed/open_ended/audio/2f13b776-5351-46a8-8595-6d8620c70e5c.wav
1a429528-c7e2-464d-ab0b-9db05bc95918,"Listen to the reference and play the same excerpt from ""Für Elise"".",piano,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/1a429528-c7e2-464d-ab0b-9db05bc95918.wav
80822730-cb34-4b8b-a4ae-d97290621f01,"Listen to the reference and play the same excerpt from ""Für Elise"".",piano,song_excerpt,double,rhythm_and_timing,The note durations in the main motif differ from the reference.,"Try slowing down just the opening motif and listen carefully to how long each note lasts in the reference. Once you get it right, gradually bring it back up to tempo.",data/processed/open_ended/audio/80822730-cb34-4b8b-a4ae-d97290621f01.wav
36c3e2a1-007c-4ded-8d94-f17156f012fd,"Listen to the reference and play the same excerpt from ""Gymnopédie No. 1"".",piano,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/36c3e2a1-007c-4ded-8d94-f17156f012fd.wav
b7deb33d-3359-475f-a264-20dbf39c03da,"Listen to the reference and play the same excerpt from ""Gymnopédie No. 1"".",piano,song_excerpt,double,dynamics,"The dynamics are uneven, with some notes suddenly much louder than others.",Use a lighter touch and try to make every note the same soft volume without sudden loud notes. Practice slowly and listen after each note to check that the volume stays even throughout.,data/processed/open_ended/audio/b7deb33d-3359-475f-a264-20dbf39c03da.wav
4dd5ddfc-d3bc-4f69-8e01-acd6c4d86ffd,"Play a one-octave G major scale, ascending and descending, in legato, at a steady tempo.",piano,exercise,single,articulation,The scale is played staccato instead of legato.,"Connect the notes smoothly by holding each one until the next key is pressed, with no gaps. Practice slowly and check that every note is connected before playing through the full scale.",data/processed/open_ended/audio/4dd5ddfc-d3bc-4f69-8e01-acd6c4d86ffd.wav
915ea3f8-af11-41fd-8736-a85498541779,"Listen to the reference and play the same chord progression (D, Dmaj7, D7, Gmaj7).",guitar,exercise,double,tempo,The tempo is slower than the reference tempo.,"Increase the tempo gradually in small steps, keeping the arpeggio even and controlled at each stage before moving faster.",data/processed/open_ended/audio/915ea3f8-af11-41fd-8736-a85498541779.wav
30fac912-f139-40dc-862e-3348137362e6,Listen to the reference and play the same one-octave C major scale ascending in legato.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/30fac912-f139-40dc-862e-3348137362e6.wav
f409d67b-456b-474a-bf3d-f5223f6e26a3,"Play a one-octave C major scale, ascending and descending, in staccato, at a steady tempo.",piano,exercise,single,articulation,The scale is played legato instead of staccato.,"Play the notes short and separated, lifting your finger quickly so there is a small gap between each note. Practice slowly on the first few notes until the staccato is consistent, then play through the full scale.",data/processed/open_ended/audio/f409d67b-456b-474a-bf3d-f5223f6e26a3.wav
9043c2a7-4794-4ade-9de9-47f60cfa5e1d,Listen to the reference and play the same one-octave C major scale with a fermata on G.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/9043c2a7-4794-4ade-9de9-47f60cfa5e1d.wav
1038491c-1821-4068-8169-8c3c207d0c25,Listen to the reference and play the same one-octave C major scale ascending in staccato.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/1038491c-1821-4068-8169-8c3c207d0c25.wav
a8ebf552-622f-4a6a-8950-2f489012ed0b,"Play a one-octave C major scale, ascending and descending, in staccato, at a steady tempo.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/a8ebf552-622f-4a6a-8950-2f489012ed0b.wav
22a5600e-8161-4b55-af55-d7e7fe6731a6,Listen to the reference and play the same one-octave C major scale ascending in staccatissimo.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/22a5600e-8161-4b55-af55-d7e7fe6731a6.wav
d1524729-6b0c-435e-8d45-d4f59fe29e88,"Play a one-octave C major scale, ascending and descending, in staccatissimo, at a steady tempo.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/d1524729-6b0c-435e-8d45-d4f59fe29e88.wav
ae7670fb-1830-491b-bb44-1aa74dccac7c,"Listen to the reference and play the same one-octave C major scale ascending, with accents on every second note starting from C.",piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/ae7670fb-1830-491b-bb44-1aa74dccac7c.wav
97dc31ce-49e0-4aaa-b7e6-55007debe69d,"Play a one-octave C major scale, ascending and descending, with accents on every second note starting from C.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/97dc31ce-49e0-4aaa-b7e6-55007debe69d.wav
24def484-e85f-42ab-852c-b68aa931d1df,"Listen to the reference and play the same excerpt from ""Enter Sandman"".",guitar,song_excerpt,double,tempo,The tempo is slower than the reference tempo.,Increase the tempo gradually in small steps until you can play steadily at the intended speed.,data/processed/open_ended/audio/24def484-e85f-42ab-852c-b68aa931d1df.wav
30742cbb-43a6-4cac-9791-db425b817d10,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/30742cbb-43a6-4cac-9791-db425b817d10.wav
2907a2c4-6735-4754-aea3-1c6c6e7bc48a,"Listen to the reference and play the same excerpt from ""Interstellar"".",piano,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/2907a2c4-6735-4754-aea3-1c6c6e7bc48a.wav
9e6763b6-48b0-4aa4-aaf5-baae6977aeee,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/9e6763b6-48b0-4aa4-aaf5-baae6977aeee.wav
76ced45c-0e77-4c3e-af9c-97f1e0db89f1,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,harmony,"The final chord has the wrong root, ending on A minor instead of C major.",Play the final chord as C major (C–E–G). Practice the last two chords in sequence slowly until the hand naturally lands on C major at the end.,data/processed/open_ended/audio/76ced45c-0e77-4c3e-af9c-97f1e0db89f1.wav
9359dd60-34a0-4373-bd2b-ab91800f677d,"Listen to the reference and play the same excerpt from ""In The End"".",piano,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/9359dd60-34a0-4373-bd2b-ab91800f677d.wav
6348ef0b-e1d6-4696-9343-501089a17555,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/6348ef0b-e1d6-4696-9343-501089a17555.wav
853d265f-0cd0-4cfc-83b7-aa7d7a7cebc3,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,pitch,F is played instead of E in the C major blues scale.,Play E instead of F. Repeat the exercise slowly until the E is consistent.,data/processed/open_ended/audio/853d265f-0cd0-4cfc-83b7-aa7d7a7cebc3.wav
5215910e-7769-46a8-a923-25c631f02356,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,rhythm_and_timing,"The left hand enters late, coming in on the fourth right-hand note instead of starting with the first note.","Start the left hand on beat one together with the right hand. If the hands drift apart, slow down and count aloud to keep them aligned.",data/processed/open_ended/audio/5215910e-7769-46a8-a923-25c631f02356.wav
2fae3488-5bc0-4188-a945-5746aefbb2f7,"Play a two-octave G major scale with both hands, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,rhythm_and_timing,"The hands are not synchronized, with one hand coming in slightly before the other.","Practice each hand separately, then play hands together slowly and start each note at the same time in both hands.",data/processed/open_ended/audio/2fae3488-5bc0-4188-a945-5746aefbb2f7.wav
2e27da83-b670-4801-b042-bf4449f54371,"Play a two-octave F major scale, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,pitch,E♭ is played instead of E natural in the scale.,Play E natural instead of E♭. Repeat the scale slowly until the E natural is consistent.,data/processed/open_ended/audio/2e27da83-b670-4801-b042-bf4449f54371.wav
30a9b679-9835-4a74-90e7-5b28eba035a9,"Listen to the reference and play the same excerpt from ""Love Story"".",guitar,song_excerpt,double,technique,"The 3rd chord (F major) and the 4th chord (G major) have audible fret buzz, so they do not ring cleanly.",Adjust your fretting pressure and finger placement so the notes ring cleanly without buzzing.,data/processed/open_ended/audio/30a9b679-9835-4a74-90e7-5b28eba035a9.wav
13268ddb-4eb5-4e08-8903-b42fb4f4501d,"Listen to the reference and play the same excerpt from ""Dust in the Wind"".",guitar,song_excerpt,double,tempo,The excerpt is played slower than the reference.,Increase the tempo gradually in small steps until you can play steadily at the intended speed.,data/processed/open_ended/audio/13268ddb-4eb5-4e08-8903-b42fb4f4501d.wav
b41c84fd-059a-4e81-8614-6835503177f3,"Listen to the reference and play the same excerpt from ""Come As You Are"".",guitar,song_excerpt,double,pitch,The excerpt is played one octave higher than intended relative to the reference.,Shift your hand position one octave lower and compare with the reference to confirm the register matches before playing through the full excerpt.,data/processed/open_ended/audio/b41c84fd-059a-4e81-8614-6835503177f3.wav
cfd6475e-8937-4452-8755-80139c0ceda9,"Listen to the reference and play the same excerpt from ""Stand By Me"".",guitar,song_excerpt,double,tempo,The excerpt is played faster than the reference.,"Slow down in small steps until you match the reference tempo, keeping a steady pulse throughout.",data/processed/open_ended/audio/cfd6475e-8937-4452-8755-80139c0ceda9.wav
faa6c495-ec7d-462c-bd2b-13fabeb89608,"Listen to the reference and play the same excerpt from ""Stand By Me"".",guitar,song_excerpt,double,tempo,The excerpt is played slower than the reference.,"Increase the tempo in small steps until you match the reference tempo, keeping a steady pulse throughout the excerpt.",data/processed/open_ended/audio/faa6c495-ec7d-462c-bd2b-13fabeb89608.wav
2dac21d8-aa0f-4e2b-b4de-801dc0208e1c,Listen to the reference and play the same A minor chord progression.,piano,exercise,double,pitch,"In the E chord, the third is played as A# instead of G#.","Play the E major chord slowly and use G# as the third, not A#. Repeat the E chord until it is consistent, then play the full progression again.",data/processed/open_ended/audio/2dac21d8-aa0f-4e2b-b4de-801dc0208e1c.wav
34d6302c-4fcf-44d1-b27f-66bed4a023b7,"Play a one-octave F major scale, ascending and descending, with an F chord on the first note.",piano,exercise,single,rhythm_and_timing,"The F chord comes in late, starting on the 5th scale note instead of with the first note.","Start the F chord on the first note of the scale, together with the first scale note. Practice this entry point slowly in isolation until it is consistent, then play through the full sequence.",data/processed/open_ended/audio/34d6302c-4fcf-44d1-b27f-66bed4a023b7.wav
b6a34e4f-c0f4-4781-8bc9-bd2c069344a9,Listen to the reference and play the same chord progression in A minor.,piano,exercise,double,no_mistake,,,data/processed/open_ended/audio/b6a34e4f-c0f4-4781-8bc9-bd2c069344a9.wav
542229b2-55bf-4981-8612-f9dca08f54b0,Listen to the reference and play the same chord progression in A minor.,piano,exercise,double,tempo,The chord progression is played faster than the reference.,Slow down to match the reference tempo. Play along and place each chord change at the same beat as in the reference.,data/processed/open_ended/audio/542229b2-55bf-4981-8612-f9dca08f54b0.wav
3c4ded31-bcfe-4c91-9f6e-c10579ed4e75,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,technique,"The seventh scale degree (G♯) is muted during the ascending scale, so it does not ring out clearly.","Press the G# firmly enough in the ascending scale so the note rings clearly before moving to the next note. Isolate that note and practice it slowly until it rings consistently, then play through the full scale.",data/processed/open_ended/audio/3c4ded31-bcfe-4c91-9f6e-c10579ed4e75.wav
0110bfc0-76f2-48ba-b2bc-baf1e048635f,"Play the chord progression F, G, Em, Am, one chord per beat, at a steady tempo.",piano,exercise,single,harmony,"Seventh chords are played (F7, G7, Em7, Am7) instead of the intended triads (F, G, Em, Am).","Play triads only for each chord. Use root, 3rd, and 5th (omit the 7th), and move through F, G, E, A at a steady pace.",data/processed/open_ended/audio/0110bfc0-76f2-48ba-b2bc-baf1e048635f.wav
dfde3c92-5877-4302-8849-850fbc8d60d5,"Listen to the reference and play the same excerpt from ""Riptide"".",guitar,song_excerpt,double,tempo,The performance is noticeably slower than the reference tempo.,"Start slower with a metronome, then increase the tempo in small steps until you match the reference speed while keeping the tempo steady.",data/processed/open_ended/audio/dfde3c92-5877-4302-8849-850fbc8d60d5.wav
401bf568-e6d9-4bdd-bc29-4438887963df,"Listen to the reference and play the same PIMA arpeggio exercise over the chord progression D, Em/D, F#m/D, G/D, A/D, D.",guitar,exercise,double,technique,Several notes are being accidentally muted and do not ring out clearly like in the reference.,"After each chord, pick the strings one by one to check they all ring clearly. Adjust your finger arch and position to avoid accidentally touching adjacent strings.",data/processed/open_ended/audio/401bf568-e6d9-4bdd-bc29-4438887963df.wav
24c40163-2943-40b6-8cd4-cfc04f749fed,"Listen to the reference and play the same PIMA arpeggio exercise over the chord progression D, Em/D, F#m/D, G/D, A/D, D.",guitar,exercise,double,rhythm_and_timing,"The notes are held for incorrect durations compared to the reference, changing the rhythmic pattern even though the meter is the same.","Play each note as an eighth note, matching the note durations in the reference so the rhythmic pattern aligns.",data/processed/open_ended/audio/24c40163-2943-40b6-8cd4-cfc04f749fed.wav
8c02371e-8b0a-40b5-af99-8547977d87d3,"Listen to the reference and play the same excerpt from ""Boulevard of Broken Dreams"".",guitar,song_excerpt,double,tempo,The performance is noticeably faster than the reference tempo.,"Slow down in small steps until you match the reference speed, keeping a steady pulse on every beat.",data/processed/open_ended/audio/8c02371e-8b0a-40b5-af99-8547977d87d3.wav
00e859b1-faf8-45cf-b321-4e69039a0d84,"Listen to the reference and play the same excerpt from ""Boulevard of Broken Dreams"".",guitar,song_excerpt,double,technique,"Some chords buzz instead of sounding clean and clear like in the reference, specifically the G major chord.",Slow down and adjust your fretting pressure and finger placement until the notes sound clean without buzzing.,data/processed/open_ended/audio/00e859b1-faf8-45cf-b321-4e69039a0d84.wav
f6ea46e7-5e14-4924-99e2-ded92e1a397f,"Listen to the reference and play the same excerpt from ""Where Is My Mind"".",guitar,song_excerpt,double,harmony,"The A chord is played as A major instead of A minor, so it does not match the reference harmony.","Use an A minor shape and make sure the 2nd string at the 1st fret (C note) is pressed so it sounds minor. Practice the A minor chord in isolation, then play the transition from the previous chord slowly until it is consistent.",data/processed/open_ended/audio/f6ea46e7-5e14-4924-99e2-ded92e1a397f.wav
cc3b81fe-f49a-4b92-b241-e8624fc3b7bf,"Listen to the reference and play the same excerpt from ""Where Is My Mind"".",guitar,song_excerpt,double,rhythm_and_timing,"The performance is in a 3/4 rhythm and uses a different strumming pattern, so both the beat grouping and the up-down strums do not match the reference.","Count four beats per bar and match the strumming pattern of the reference recording, making sure both the timing and the up-down strokes align with the reference.",data/processed/open_ended/audio/cc3b81fe-f49a-4b92-b241-e8624fc3b7bf.wav
485403c8-b268-4b84-b36a-4549d875956d,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,no_mistake,,,data/processed/open_ended/audio/485403c8-b268-4b84-b36a-4549d875956d.wav
cba8d9db-d453-4e17-8265-67430d016cfa,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,tempo,The performance is faster than the reference tempo.,"Slow down in small steps until you match the reference speed, keeping a steady pulse on every beat.",data/processed/open_ended/audio/cba8d9db-d453-4e17-8265-67430d016cfa.wav
a2a29d9a-904c-4d96-b193-98a05f533de8,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,rhythm_and_timing,"The performance is in a 3/4 rhythm and uses a different strumming pattern, so both the beat grouping and the up-down strums do not match the reference.","Count four beats per bar and match the strumming pattern of the reference recording, making sure both the timing and the up-down strokes align with the reference.",data/processed/open_ended/audio/a2a29d9a-904c-4d96-b193-98a05f533de8.wav
62099e3a-777a-4949-8545-239bd8988323,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,technique,All chords are being accidentally muted and do not ring out clearly like in the reference.,Keep your fretting-hand fingers arched and avoid touching nearby strings so the notes ring out cleanly.,data/processed/open_ended/audio/62099e3a-777a-4949-8545-239bd8988323.wav
98ebdbc1-38a5-4bd8-a891-56555721e48e,"Play a four-octave C major scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/98ebdbc1-38a5-4bd8-a891-56555721e48e.wav
68db6056-a80e-4c7d-8e3e-707236a18a85,"Play a four-octave F major scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/68db6056-a80e-4c7d-8e3e-707236a18a85.wav
1f651886-39ad-49e8-a2cd-57e0777b1a43,"Play a four-octave A harmonic minor scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/1f651886-39ad-49e8-a2cd-57e0777b1a43.wav
c8ced14d-ac2d-4025-860b-9e6983a6a6fd,"Play a four-octave D melodic minor scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/c8ced14d-ac2d-4025-860b-9e6983a6a6fd.wav
7a65ecf5-e243-4d03-8846-c47281c7de9d,"Play the chord progression C, Am, F, G as triads, in forte, at a steady tempo, repeating the progression four times.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/7a65ecf5-e243-4d03-8846-c47281c7de9d.wav
4ae8529a-6893-4a0d-9518-566cc81131fb,"Play the chord progression C, Am, F, G as triads, in pianissimo, at a steady tempo, repeating the progression four times.",piano,exercise,single,dynamics,The chords are played too loudly instead of pianissimo.,Play the progression much softer and keep a consistently quiet dynamic throughout. Practice at pianissimo from the start and check after each chord that the volume stays consistent.,data/processed/open_ended/audio/4ae8529a-6893-4a0d-9518-566cc81131fb.wav
558a40c5-ab64-48ef-9d9c-6fa52bc2f77e,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 80 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/558a40c5-ab64-48ef-9d9c-6fa52bc2f77e.wav
3f85efca-b9c6-4a43-99f1-cbe6a9a58351,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,tempo,The tempo is faster than requested and is closer to 80 BPM instead of approximately 60 BPM.,Slow down the tempo and use a metronome so the progression is played closer to 60 BPM while keeping one chord per beat.,data/processed/open_ended/audio/3f85efca-b9c6-4a43-99f1-cbe6a9a58351.wav
af20b1dc-a2ee-49ec-8c15-831e048e4179,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 100 BPM, repeating the progression four times.",piano,exercise,single,tempo,The tempo is slower than intended and is closer to 80 BPM instead of approximately 100 BPM.,Increase the tempo and use a metronome so the progression is played closer to 100 BPM while keeping one chord per beat.,data/processed/open_ended/audio/af20b1dc-a2ee-49ec-8c15-831e048e4179.wav
b93739fe-a8e2-43f1-8649-55a9a1c7c2f9,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 90 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/b93739fe-a8e2-43f1-8649-55a9a1c7c2f9.wav
16f7e955-27c8-4ee7-a8cb-e4775a708fbb,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 120 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/16f7e955-27c8-4ee7-a8cb-e4775a708fbb.wav
1ef3b6e6-54ad-43e5-b05d-ad0fdd3f5786,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,,,data/processed/open_ended/audio/1ef3b6e6-54ad-43e5-b05d-ad0fdd3f5786.wav
