id,instruction,instrument,piece_type,audio_setting,mistake_category,options,answer,audio_path
bcbbe10f-d41c-4925-95c5-7b4f5d19ce25,"Listen to the reference and play the same excerpt from ""Wildflower"".",guitar,song_excerpt,double,no_mistake,"technique, tempo, no_mistake, pitch",no_mistake,data/processed/mcq/audio/bcbbe10f-d41c-4925-95c5-7b4f5d19ce25.wav
bd292aa2-228b-44bd-b732-84c0d17b47d8,"Listen to the reference and play the same excerpt from ""Take Me Home, Country Roads"".",guitar,song_excerpt,double,harmony,"pitch, rhythm_and_timing, harmony, no_mistake",harmony,data/processed/mcq/audio/bd292aa2-228b-44bd-b732-84c0d17b47d8.wav
a66dc3ec-d052-4efc-88d6-f682389b0b74,"Listen to the reference and play the same excerpt from ""Take Me Home, Country Roads"".",guitar,song_excerpt,double,rhythm_and_timing,"rhythm_and_timing, no_mistake, pitch, tempo",rhythm_and_timing,data/processed/mcq/audio/a66dc3ec-d052-4efc-88d6-f682389b0b74.wav
d6c13d80-83a7-4485-8346-3ee1768b99fb,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,no_mistake,"technique, no_mistake, pitch, tempo",no_mistake,data/processed/mcq/audio/d6c13d80-83a7-4485-8346-3ee1768b99fb.wav
b4a0f1e6-207a-4d41-94d9-6bbe79b93e91,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,pitch,"pitch, no_mistake, harmony, rhythm_and_timing",pitch,data/processed/mcq/audio/b4a0f1e6-207a-4d41-94d9-6bbe79b93e91.wav
04516c1a-d31c-4a14-a5f1-ae969aa6cb64,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,pitch,"harmony, no_mistake, pitch, rhythm_and_timing",pitch,data/processed/mcq/audio/04516c1a-d31c-4a14-a5f1-ae969aa6cb64.wav
65493b5c-0c20-4738-a137-e374260119e1,"Listen to the reference and play the same excerpt from ""Hallelujah"".",guitar,song_excerpt,double,tempo,"tempo, rhythm_and_timing, no_mistake, dynamics",tempo,data/processed/mcq/audio/65493b5c-0c20-4738-a137-e374260119e1.wav
f28523e5-389b-4f04-9278-d8827e477bab,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,no_mistake,"no_mistake, tempo, pitch, dynamics",no_mistake,data/processed/mcq/audio/f28523e5-389b-4f04-9278-d8827e477bab.wav
61afe18a-b71f-4b7b-84b3-f7a2d71a662a,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,pitch,"harmony, no_mistake, pitch, rhythm_and_timing",pitch,data/processed/mcq/audio/61afe18a-b71f-4b7b-84b3-f7a2d71a662a.wav
9e9131cb-1b7e-404d-9c8b-41823bbbc7e5,"Listen to the reference and play the same excerpt from ""River Flows In You"".",piano,song_excerpt,double,pitch,"no_mistake, rhythm_and_timing, harmony, pitch",pitch,data/processed/mcq/audio/9e9131cb-1b7e-404d-9c8b-41823bbbc7e5.wav
0d3a232e-8477-44cc-b045-0d67d7b07995,"Play a two-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,pitch,"harmony, no_mistake, pitch, rhythm_and_timing",pitch,data/processed/mcq/audio/0d3a232e-8477-44cc-b045-0d67d7b07995.wav
a56ca4f3-6eb7-4da0-88b1-f5d6ba4f61bb,"Play a one-octave D major scale, ascending and descending, as even eighth notes.",piano,exercise,single,rhythm_and_timing,"no_mistake, tempo, rhythm_and_timing, pitch",rhythm_and_timing,data/processed/mcq/audio/a56ca4f3-6eb7-4da0-88b1-f5d6ba4f61bb.wav
64ebacd5-0347-4bd2-b345-5e98fa44cf22,"Play the excerpt from ""Waltz Op. 39 No. 13"" in staccato.",piano,song_excerpt,single,articulation,"dynamics, no_mistake, rhythm_and_timing, articulation",articulation,data/processed/mcq/audio/64ebacd5-0347-4bd2-b345-5e98fa44cf22.wav
2f13b776-5351-46a8-8595-6d8620c70e5c,"Play the excerpt from ""Waltz Op. 39 No. 13"" in legato.",piano,song_excerpt,single,articulation,"articulation, rhythm_and_timing, no_mistake, dynamics",articulation,data/processed/mcq/audio/2f13b776-5351-46a8-8595-6d8620c70e5c.wav
1a429528-c7e2-464d-ab0b-9db05bc95918,"Listen to the reference and play the same excerpt from ""Für Elise"".",piano,song_excerpt,double,no_mistake,"no_mistake, tempo, dynamics, pitch",no_mistake,data/processed/mcq/audio/1a429528-c7e2-464d-ab0b-9db05bc95918.wav
80822730-cb34-4b8b-a4ae-d97290621f01,"Listen to the reference and play the same excerpt from ""Für Elise"".",piano,song_excerpt,double,rhythm_and_timing,"pitch, tempo, rhythm_and_timing, no_mistake",rhythm_and_timing,data/processed/mcq/audio/80822730-cb34-4b8b-a4ae-d97290621f01.wav
36c3e2a1-007c-4ded-8d94-f17156f012fd,"Listen to the reference and play the same excerpt from ""Gymnopédie No. 1"".",piano,song_excerpt,double,no_mistake,"dynamics, tempo, no_mistake, pitch",no_mistake,data/processed/mcq/audio/36c3e2a1-007c-4ded-8d94-f17156f012fd.wav
b7deb33d-3359-475f-a264-20dbf39c03da,"Listen to the reference and play the same excerpt from ""Gymnopédie No. 1"".",piano,song_excerpt,double,dynamics,"no_mistake, tempo, dynamics, articulation",dynamics,data/processed/mcq/audio/b7deb33d-3359-475f-a264-20dbf39c03da.wav
4dd5ddfc-d3bc-4f69-8e01-acd6c4d86ffd,"Play a one-octave G major scale, ascending and descending, in legato, at a steady tempo.",piano,exercise,single,articulation,"no_mistake, articulation, dynamics, rhythm_and_timing",articulation,data/processed/mcq/audio/4dd5ddfc-d3bc-4f69-8e01-acd6c4d86ffd.wav
915ea3f8-af11-41fd-8736-a85498541779,"Listen to the reference and play the same chord progression (D, Dmaj7, D7, Gmaj7).",guitar,exercise,double,tempo,"no_mistake, rhythm_and_timing, dynamics, tempo",tempo,data/processed/mcq/audio/915ea3f8-af11-41fd-8736-a85498541779.wav
30fac912-f139-40dc-862e-3348137362e6,Listen to the reference and play the same one-octave C major scale ascending in legato.,piano,exercise,double,no_mistake,"tempo, no_mistake, pitch, dynamics",no_mistake,data/processed/mcq/audio/30fac912-f139-40dc-862e-3348137362e6.wav
f409d67b-456b-474a-bf3d-f5223f6e26a3,"Play a one-octave C major scale, ascending and descending, in staccato, at a steady tempo.",piano,exercise,single,articulation,"dynamics, rhythm_and_timing, no_mistake, articulation",articulation,data/processed/mcq/audio/f409d67b-456b-474a-bf3d-f5223f6e26a3.wav
9043c2a7-4794-4ade-9de9-47f60cfa5e1d,Listen to the reference and play the same one-octave C major scale with a fermata on G.,piano,exercise,double,no_mistake,"no_mistake, pitch, dynamics, tempo",no_mistake,data/processed/mcq/audio/9043c2a7-4794-4ade-9de9-47f60cfa5e1d.wav
1038491c-1821-4068-8169-8c3c207d0c25,Listen to the reference and play the same one-octave C major scale ascending in staccato.,piano,exercise,double,no_mistake,"tempo, no_mistake, pitch, dynamics",no_mistake,data/processed/mcq/audio/1038491c-1821-4068-8169-8c3c207d0c25.wav
a8ebf552-622f-4a6a-8950-2f489012ed0b,"Play a one-octave C major scale, ascending and descending, in staccato, at a steady tempo.",piano,exercise,single,no_mistake,"tempo, pitch, no_mistake, dynamics",no_mistake,data/processed/mcq/audio/a8ebf552-622f-4a6a-8950-2f489012ed0b.wav
22a5600e-8161-4b55-af55-d7e7fe6731a6,Listen to the reference and play the same one-octave C major scale ascending in staccatissimo.,piano,exercise,double,no_mistake,"dynamics, pitch, no_mistake, tempo",no_mistake,data/processed/mcq/audio/22a5600e-8161-4b55-af55-d7e7fe6731a6.wav
d1524729-6b0c-435e-8d45-d4f59fe29e88,"Play a one-octave C major scale, ascending and descending, in staccatissimo, at a steady tempo.",piano,exercise,single,no_mistake,"no_mistake, dynamics, tempo, pitch",no_mistake,data/processed/mcq/audio/d1524729-6b0c-435e-8d45-d4f59fe29e88.wav
ae7670fb-1830-491b-bb44-1aa74dccac7c,"Listen to the reference and play the same one-octave C major scale ascending, with accents on every second note starting from C.",piano,exercise,double,no_mistake,"tempo, dynamics, pitch, no_mistake",no_mistake,data/processed/mcq/audio/ae7670fb-1830-491b-bb44-1aa74dccac7c.wav
97dc31ce-49e0-4aaa-b7e6-55007debe69d,"Play a one-octave C major scale, ascending and descending, with accents on every second note starting from C.",piano,exercise,single,no_mistake,"dynamics, tempo, pitch, no_mistake",no_mistake,data/processed/mcq/audio/97dc31ce-49e0-4aaa-b7e6-55007debe69d.wav
24def484-e85f-42ab-852c-b68aa931d1df,"Listen to the reference and play the same excerpt from ""Enter Sandman"".",guitar,song_excerpt,double,tempo,"no_mistake, rhythm_and_timing, dynamics, tempo",tempo,data/processed/mcq/audio/24def484-e85f-42ab-852c-b68aa931d1df.wav
30742cbb-43a6-4cac-9791-db425b817d10,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,no_mistake,"no_mistake, pitch, dynamics, tempo",no_mistake,data/processed/mcq/audio/30742cbb-43a6-4cac-9791-db425b817d10.wav
2907a2c4-6735-4754-aea3-1c6c6e7bc48a,"Listen to the reference and play the same excerpt from ""Interstellar"".",piano,song_excerpt,double,no_mistake,"pitch, tempo, no_mistake, dynamics",no_mistake,data/processed/mcq/audio/2907a2c4-6735-4754-aea3-1c6c6e7bc48a.wav
9e6763b6-48b0-4aa4-aaf5-baae6977aeee,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,no_mistake,"tempo, dynamics, no_mistake, pitch",no_mistake,data/processed/mcq/audio/9e6763b6-48b0-4aa4-aaf5-baae6977aeee.wav
76ced45c-0e77-4c3e-af9c-97f1e0db89f1,"Listen to the reference and play the same exercise, with the right hand playing the melody and the left hand playing the chord progression accompaniment.",piano,exercise,double,harmony,"no_mistake, rhythm_and_timing, pitch, harmony",harmony,data/processed/mcq/audio/76ced45c-0e77-4c3e-af9c-97f1e0db89f1.wav
9359dd60-34a0-4373-bd2b-ab91800f677d,"Listen to the reference and play the same excerpt from ""In The End"".",piano,song_excerpt,double,no_mistake,"pitch, tempo, no_mistake, dynamics",no_mistake,data/processed/mcq/audio/9359dd60-34a0-4373-bd2b-ab91800f677d.wav
6348ef0b-e1d6-4696-9343-501089a17555,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,no_mistake,"pitch, no_mistake, tempo, dynamics",no_mistake,data/processed/mcq/audio/6348ef0b-e1d6-4696-9343-501089a17555.wav
853d265f-0cd0-4cfc-83b7-aa7d7a7cebc3,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,pitch,"harmony, pitch, rhythm_and_timing, no_mistake",pitch,data/processed/mcq/audio/853d265f-0cd0-4cfc-83b7-aa7d7a7cebc3.wav
5215910e-7769-46a8-a923-25c631f02356,Listen to the reference and play the same C major blues scale exercise.,piano,exercise,double,rhythm_and_timing,"no_mistake, tempo, pitch, rhythm_and_timing",rhythm_and_timing,data/processed/mcq/audio/5215910e-7769-46a8-a923-25c631f02356.wav
2fae3488-5bc0-4188-a945-5746aefbb2f7,"Play a two-octave G major scale with both hands, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,rhythm_and_timing,"pitch, no_mistake, tempo, rhythm_and_timing",rhythm_and_timing,data/processed/mcq/audio/2fae3488-5bc0-4188-a945-5746aefbb2f7.wav
2e27da83-b670-4801-b042-bf4449f54371,"Play a two-octave F major scale, ascending and descending, at a steady tempo, one note per beat.",piano,exercise,single,pitch,"no_mistake, pitch, rhythm_and_timing, harmony",pitch,data/processed/mcq/audio/2e27da83-b670-4801-b042-bf4449f54371.wav
30a9b679-9835-4a74-90e7-5b28eba035a9,"Listen to the reference and play the same excerpt from ""Love Story"".",guitar,song_excerpt,double,technique,"technique, articulation, no_mistake, dynamics",technique,data/processed/mcq/audio/30a9b679-9835-4a74-90e7-5b28eba035a9.wav
13268ddb-4eb5-4e08-8903-b42fb4f4501d,"Listen to the reference and play the same excerpt from ""Dust in the Wind"".",guitar,song_excerpt,double,tempo,"rhythm_and_timing, tempo, dynamics, no_mistake",tempo,data/processed/mcq/audio/13268ddb-4eb5-4e08-8903-b42fb4f4501d.wav
b41c84fd-059a-4e81-8614-6835503177f3,"Listen to the reference and play the same excerpt from ""Come As You Are"".",guitar,song_excerpt,double,pitch,"rhythm_and_timing, harmony, pitch, no_mistake",pitch,data/processed/mcq/audio/b41c84fd-059a-4e81-8614-6835503177f3.wav
cfd6475e-8937-4452-8755-80139c0ceda9,"Listen to the reference and play the same excerpt from ""Stand By Me"".",guitar,song_excerpt,double,tempo,"no_mistake, tempo, dynamics, rhythm_and_timing",tempo,data/processed/mcq/audio/cfd6475e-8937-4452-8755-80139c0ceda9.wav
faa6c495-ec7d-462c-bd2b-13fabeb89608,"Listen to the reference and play the same excerpt from ""Stand By Me"".",guitar,song_excerpt,double,tempo,"tempo, no_mistake, dynamics, rhythm_and_timing",tempo,data/processed/mcq/audio/faa6c495-ec7d-462c-bd2b-13fabeb89608.wav
2dac21d8-aa0f-4e2b-b4de-801dc0208e1c,Listen to the reference and play the same A minor chord progression.,piano,exercise,double,pitch,"pitch, no_mistake, rhythm_and_timing, harmony",pitch,data/processed/mcq/audio/2dac21d8-aa0f-4e2b-b4de-801dc0208e1c.wav
34d6302c-4fcf-44d1-b27f-66bed4a023b7,"Play a one-octave F major scale, ascending and descending, with an F chord on the first note.",piano,exercise,single,rhythm_and_timing,"tempo, rhythm_and_timing, no_mistake, pitch",rhythm_and_timing,data/processed/mcq/audio/34d6302c-4fcf-44d1-b27f-66bed4a023b7.wav
b6a34e4f-c0f4-4781-8bc9-bd2c069344a9,Listen to the reference and play the same chord progression in A minor.,piano,exercise,double,no_mistake,"tempo, pitch, dynamics, no_mistake",no_mistake,data/processed/mcq/audio/b6a34e4f-c0f4-4781-8bc9-bd2c069344a9.wav
542229b2-55bf-4981-8612-f9dca08f54b0,Listen to the reference and play the same chord progression in A minor.,piano,exercise,double,tempo,"rhythm_and_timing, no_mistake, dynamics, tempo",tempo,data/processed/mcq/audio/542229b2-55bf-4981-8612-f9dca08f54b0.wav
3c4ded31-bcfe-4c91-9f6e-c10579ed4e75,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,technique,"dynamics, technique, articulation, no_mistake",technique,data/processed/mcq/audio/3c4ded31-bcfe-4c91-9f6e-c10579ed4e75.wav
0110bfc0-76f2-48ba-b2bc-baf1e048635f,"Play the chord progression F, G, Em, Am, one chord per beat, at a steady tempo.",piano,exercise,single,harmony,"pitch, harmony, no_mistake, rhythm_and_timing",harmony,data/processed/mcq/audio/0110bfc0-76f2-48ba-b2bc-baf1e048635f.wav
dfde3c92-5877-4302-8849-850fbc8d60d5,"Listen to the reference and play the same excerpt from ""Riptide"".",guitar,song_excerpt,double,tempo,"dynamics, no_mistake, rhythm_and_timing, tempo",tempo,data/processed/mcq/audio/dfde3c92-5877-4302-8849-850fbc8d60d5.wav
401bf568-e6d9-4bdd-bc29-4438887963df,Listen to the reference and play the same exercise.,guitar,exercise,double,technique,"dynamics, no_mistake, articulation, technique",technique,data/processed/mcq/audio/401bf568-e6d9-4bdd-bc29-4438887963df.wav
24c40163-2943-40b6-8cd4-cfc04f749fed,Listen to the reference and play the same exercise.,guitar,exercise,double,rhythm_and_timing,"rhythm_and_timing, tempo, no_mistake, pitch",rhythm_and_timing,data/processed/mcq/audio/24c40163-2943-40b6-8cd4-cfc04f749fed.wav
8c02371e-8b0a-40b5-af99-8547977d87d3,"Listen to the reference and play the same excerpt from ""Boulevard of Broken Dreams"".",guitar,song_excerpt,double,tempo,"dynamics, rhythm_and_timing, tempo, no_mistake",tempo,data/processed/mcq/audio/8c02371e-8b0a-40b5-af99-8547977d87d3.wav
00e859b1-faf8-45cf-b321-4e69039a0d84,"Listen to the reference and play the same excerpt from ""Boulevard of Broken Dreams"".",guitar,song_excerpt,double,technique,"articulation, no_mistake, dynamics, technique",technique,data/processed/mcq/audio/00e859b1-faf8-45cf-b321-4e69039a0d84.wav
f6ea46e7-5e14-4924-99e2-ded92e1a397f,"Listen to the reference and play the same excerpt from ""Where Is My Mind"".",guitar,song_excerpt,double,harmony,"no_mistake, harmony, rhythm_and_timing, pitch",harmony,data/processed/mcq/audio/f6ea46e7-5e14-4924-99e2-ded92e1a397f.wav
cc3b81fe-f49a-4b92-b241-e8624fc3b7bf,"Listen to the reference and play the same excerpt from ""Where Is My Mind"".",guitar,song_excerpt,double,rhythm_and_timing,"rhythm_and_timing, tempo, no_mistake, pitch",rhythm_and_timing,data/processed/mcq/audio/cc3b81fe-f49a-4b92-b241-e8624fc3b7bf.wav
485403c8-b268-4b84-b36a-4549d875956d,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,no_mistake,"no_mistake, pitch, tempo, technique",no_mistake,data/processed/mcq/audio/485403c8-b268-4b84-b36a-4549d875956d.wav
cba8d9db-d453-4e17-8265-67430d016cfa,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,tempo,"tempo, no_mistake, dynamics, rhythm_and_timing",tempo,data/processed/mcq/audio/cba8d9db-d453-4e17-8265-67430d016cfa.wav
a2a29d9a-904c-4d96-b193-98a05f533de8,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,rhythm_and_timing,"tempo, pitch, no_mistake, rhythm_and_timing",rhythm_and_timing,data/processed/mcq/audio/a2a29d9a-904c-4d96-b193-98a05f533de8.wav
62099e3a-777a-4949-8545-239bd8988323,"Listen to the reference and play the same excerpt from ""What's Up"".",guitar,song_excerpt,double,technique,"dynamics, articulation, no_mistake, technique",technique,data/processed/mcq/audio/62099e3a-777a-4949-8545-239bd8988323.wav
98ebdbc1-38a5-4bd8-a891-56555721e48e,"Play a four-octave C major scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,"pitch, tempo, dynamics, no_mistake",no_mistake,data/processed/mcq/audio/98ebdbc1-38a5-4bd8-a891-56555721e48e.wav
68db6056-a80e-4c7d-8e3e-707236a18a85,"Play a four-octave F major scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,"no_mistake, dynamics, pitch, tempo",no_mistake,data/processed/mcq/audio/68db6056-a80e-4c7d-8e3e-707236a18a85.wav
1f651886-39ad-49e8-a2cd-57e0777b1a43,"Play a four-octave A harmonic minor scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,"tempo, dynamics, pitch, no_mistake",no_mistake,data/processed/mcq/audio/1f651886-39ad-49e8-a2cd-57e0777b1a43.wav
c8ced14d-ac2d-4025-860b-9e6983a6a6fd,"Play a four-octave D melodic minor scale, ascending and descending, at a steady tempo, with both hands.",piano,exercise,single,no_mistake,"pitch, no_mistake, dynamics, tempo",no_mistake,data/processed/mcq/audio/c8ced14d-ac2d-4025-860b-9e6983a6a6fd.wav
7a65ecf5-e243-4d03-8846-c47281c7de9d,"Play the chord progression C, Am, F, G as triads, in forte, at a steady tempo, repeating the progression four times.",piano,exercise,single,no_mistake,"no_mistake, dynamics, tempo, pitch",no_mistake,data/processed/mcq/audio/7a65ecf5-e243-4d03-8846-c47281c7de9d.wav
4ae8529a-6893-4a0d-9518-566cc81131fb,"Play the chord progression C, Am, F, G as triads, in pianissimo, at a steady tempo, repeating the progression four times.",piano,exercise,single,dynamics,"no_mistake, tempo, dynamics, articulation",dynamics,data/processed/mcq/audio/4ae8529a-6893-4a0d-9518-566cc81131fb.wav
558a40c5-ab64-48ef-9d9c-6fa52bc2f77e,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 80 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,"no_mistake, dynamics, pitch, tempo",no_mistake,data/processed/mcq/audio/558a40c5-ab64-48ef-9d9c-6fa52bc2f77e.wav
3f85efca-b9c6-4a43-99f1-cbe6a9a58351,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,tempo,"rhythm_and_timing, tempo, dynamics, no_mistake",tempo,data/processed/mcq/audio/3f85efca-b9c6-4a43-99f1-cbe6a9a58351.wav
af20b1dc-a2ee-49ec-8c15-831e048e4179,"Play the chord progression C, F, G, C as triads, one chord per beat, at approximately 100 BPM, repeating the progression four times.",piano,exercise,single,tempo,"tempo, rhythm_and_timing, no_mistake, dynamics",tempo,data/processed/mcq/audio/af20b1dc-a2ee-49ec-8c15-831e048e4179.wav
b93739fe-a8e2-43f1-8649-55a9a1c7c2f9,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 90 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,"no_mistake, tempo, dynamics, pitch",no_mistake,data/processed/mcq/audio/b93739fe-a8e2-43f1-8649-55a9a1c7c2f9.wav
16f7e955-27c8-4ee7-a8cb-e4775a708fbb,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 120 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,"tempo, dynamics, pitch, no_mistake",no_mistake,data/processed/mcq/audio/16f7e955-27c8-4ee7-a8cb-e4775a708fbb.wav
1ef3b6e6-54ad-43e5-b05d-ad0fdd3f5786,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,no_mistake,"pitch, no_mistake, tempo, dynamics",no_mistake,data/processed/mcq/audio/1ef3b6e6-54ad-43e5-b05d-ad0fdd3f5786.wav
bc0c53ad-487c-4658-9a60-114ea0d351fc,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 90 BPM, repeating the progression four times.",piano,exercise,single,tempo,"tempo, dynamics, no_mistake, rhythm_and_timing",tempo,data/processed/mcq/audio/bc0c53ad-487c-4658-9a60-114ea0d351fc.wav
f9379281-dd61-45b7-8a60-7b05d7f951c9,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,tempo,"dynamics, rhythm_and_timing, tempo, no_mistake",tempo,data/processed/mcq/audio/f9379281-dd61-45b7-8a60-7b05d7f951c9.wav
eed1f1b8-31ee-476a-bcef-fa35e66a686e,"Play the chord progression Am, F, C, G as triads, one chord per beat, at approximately 60 BPM, repeating the progression four times.",piano,exercise,single,tempo,"dynamics, no_mistake, tempo, rhythm_and_timing",tempo,data/processed/mcq/audio/eed1f1b8-31ee-476a-bcef-fa35e66a686e.wav
7cf7c6f1-e0e1-4537-ae2d-f254da8a35af,"Given the note sequence C–C–G–G–A–A–G–F–F–E–E–D–D–C, play each note as a quarter note with the right hand at a steady tempo, then repeat the entire sequence once.",piano,exercise,single,rhythm_and_timing,"pitch, tempo, rhythm_and_timing, no_mistake",rhythm_and_timing,data/processed/mcq/audio/7cf7c6f1-e0e1-4537-ae2d-f254da8a35af.wav
e16c4ca3-a8e1-49fc-96e5-c185b432e97c,"Play the chord sequence B♭–B♭–F–F–Gm–Gm–Dm–E♭–E♭–B♭–B♭–E♭–E♭–F as three-note root-position triads. Play all chords as quarter notes, except the Dm and the final F, which are held for two beats.",piano,exercise,single,harmony,"pitch, no_mistake, rhythm_and_timing, harmony",harmony,data/processed/mcq/audio/e16c4ca3-a8e1-49fc-96e5-c185b432e97c.wav
3749bc66-be27-4754-a426-87f7313e5bfa,"Play the chord sequence B♭–B♭–F–F–Gm–Gm–Dm–E♭–E♭–B♭–B♭–E♭–E♭–F as three-note root-position triads. Play all chords as quarter notes, except the Dm and the final F, which are held for two beats.",piano,exercise,single,harmony,"pitch, rhythm_and_timing, no_mistake, harmony",harmony,data/processed/mcq/audio/3749bc66-be27-4754-a426-87f7313e5bfa.wav
0bfdfd5c-5ee2-4aa9-9967-0ef4b0eea1a2,"Listen to the reference and play the same excerpt from ""Solas"".",piano,song_excerpt,double,rhythm_and_timing,"no_mistake, rhythm_and_timing, articulation, tempo",rhythm_and_timing,data/processed/mcq/audio/0bfdfd5c-5ee2-4aa9-9967-0ef4b0eea1a2.wav
0f3c1cd3-3324-43b5-ae79-9449276daa7b,"Listen to the reference and play the same excerpt from ""Solas"".",piano,song_excerpt,double,rhythm_and_timing,"rhythm_and_timing, tempo, no_mistake, articulation",rhythm_and_timing,data/processed/mcq/audio/0f3c1cd3-3324-43b5-ae79-9449276daa7b.wav
4f397073-4caa-4de2-a410-a0c5a705a8ab,"Listen to the reference and play the same excerpt from ""To Build a Home"".",piano,song_excerpt,double,pitch,"rhythm_and_timing, harmony, no_mistake, pitch",pitch,data/processed/mcq/audio/4f397073-4caa-4de2-a410-a0c5a705a8ab.wav
